2	店-お-compound	また行きたい、そんな気持ちにさせてくれるお店です。
5238	場所-診察-compound,さん-患者-compound	バーテーションで隣の診察場所と区切られていますが、隣で診察中の患者さんの声がちょっと聞こえます。
5239	本数-列車-compound,最大-中-compound	列車本数は近鉄特急中最大である。
5240	教会-大宮-compound	大宮教会からの参加だ。
5243	中-本番-compound	しかしあまりのネタの寒さに会場が凍りついたり、無意味な解説を入れて更に空気が悪くなったり、果てに本番中なのに「このネタはまだ完成していない」と言ってしまったりと出来は散々。
5244	Epic-』-compound	小説を読んで、ゲームをプレイして、今年のゴールデンウィークは『Master of Epic』の世界を存分にお楽しみください!
5245	主人-ご-compound	早くから遅くまで、ご主人が仕込みをされています。
5247	フォト-ネイチャー-compound	ネイチャーフォトを中心に様々な写真を撮り続ける。
5248	直後-戦後-compound,天皇制-象徴-compound,直後-戦後-compound	戦後直後の1946年に毎日新聞が実施した世論調査では、象徴天皇制への支持が85%、反対が13%、不明2%となっており戦後直後でも国民の多くが皇室の存続を支持している。
5249	コスモス-・-compound,モード-フューチャー-compound,ジャスティス-・-compound,モード-クラッシャー-compound,波-エネルギー-compound	コスモス・フューチャーモードとジャスティス・クラッシャーモードの必殺光線を収束させ、強力なエネルギー波で敵を蒸散させる。
5250	制度-内閣-compound,リジ-・-compound	メネリクは自分の没後のことを考え、皇帝を補佐する内閣制度を1907年に創設し、1908年には後継者として娘のシャワラッガとその夫のウォロのミハイルの子、つまり孫のリジ・イヤスを後継者に指名した。
5251	後期-中世-compound	10世紀にはSanctone、中世後期にはXainctesと記された。
5253	ルーム-VIP-compound	個室やVIPルームもあるとのこと。
5255	サービス-次世代-compound,放送-マルチメディア-compound,審議会-監理-compound	総務省は17日、NTTドコモとKDDIの2陣営が免許を申請している次世代サービス「携帯端末向けマルチメディア放送」について、事業者1社を選定して答申するよう電波監理審議会に諮問した。
5256	会-修道-compound	一方,マルタ騎士団はカトリックの騎士修道会。
5257	店-お-compound	博多で和食を楽しむのであれば、ここのお店は絶対にチェックしておいた方が良いと思います。
5258	守-能登-compound	官位は従五位下能登守、伯耆守。
5259	フィーニス-・-compound	その後、ギナとミナの真意を知りたがったフィーニス・ソキウスがアメノミハシラを訪れていた。
5260	価格-鋼材-compound,株価-・-compound,とも-業績-compound	株価は大きく調整したが、更なる鋼材価格の値下げが予想される中で、株価・業績ともに更なる落ち込みを予想すると報告。
5261	注目-大-compound	大注目の記者会見!
5262	以来-日-compound,駅-押部谷-compound,区間-複線-compound,終端-東側-compound	1989年3月 26日以来、押部谷駅から続く粟生線複線区間の東側終端となっている。
5264	記事-各-compound,文書-偽-compound,上-学問-compound,的-オカルト-compound,的-・-compound,的な-詐欺-compound	偽書としての疑いの程度やその根拠については、リンクされている各記事を参照のこと)その字面からは「偽りの書」として価値のない物と誤解されがちであるが、偽文書や偽書の作成がなされた事情は、その当時の歴史的背景に由来することが多く、学問上、完全に無意味とされる後述のオカルト的・詐欺的な例外を除けば少ない。
5266	中-リフレ-compound,さん-メイド-compound,付近-送風機-compound	リフレ中にメイドさんが「乾かしておきますね」といって靴下を送風機付近に干してくれました。
5267	弾-信号-compound	より新しいモデルではもっと小さな12ゲージの信号弾を使用する。
5268	者-欠落-compound,届-帰住-compound	なお、欠落者が捕らえられ自らの意思で帰還した場合には、原則的には「帰住届」を提出の後に欠落中に罪を犯していないかを確認が行われ、人別帳に氏名が復帰された後に家族に引き渡された。
5269	探偵-防犯-compound,探偵-・-compound,シリーズ-榎本-compound,シリーズ-』-compound	『防犯探偵・榎本シリーズ』の第2作。
5270	ゲーム-同人-compound,以外-Wirth-compound	もっとも、結果として同人ゲームであるCard Wirth以外のソフトウェアを開発するまでには至らなかった。
5272	オープン-インド-compound,C-・-compound,ウォール-ヘッド-compound	インドで行われた「ヒロレディスインドオープン」ではスウェーデンのC・ヘッドウォールが優勝。
5273	濾過-・-compound,利用-再-compound	汚物をタンクに貯蔵する方式は、タンクがすぐに溢れてしまう問題があり、汚物に含まれる水分を濾過・処理して便器の水洗に再利用する仕組みが考案されてから広く普及するようになった。
5275	3-』-compound,氏康-北条-compound	『3』では謙信や北条氏康との絆が描かれている。
5276	ソムリエ-日本酒-compound,好き-日本酒-compound	小さい店ですが、日本酒ソムリエのような店主がおり、日本酒好きなら一度は行って欲しい店。
5277	跡地-演習場-compound	在日米海軍辻堂演習場跡地に作られた。
5280	閉鎖-工場-compound	工場閉鎖や人員削減などの構造改革が奏功しているからだ。
5282	伽藍-城郭-compound,指定-愛知県-compound	境内は城郭伽藍の遺構が良好に保存されており愛知県指定の史跡である。
5283	展開-店舗-compound,圏-関東-compound,圏-関東-compound,展開-全国-compound	店舗展開としては長らく関東圏に限ってきたが、近年では関東圏を脱し全国展開を視野に入れている。
5284	様-嬢-compound	寮での大いに刺激的な生活の中で少しずつ壊れ始め、周りからはお嬢様だと見られず普通に接されている。
5286	後-結婚-compound	女性が専業主婦を希望していることを嫌がる男性が統計的に見て増えてきており、結婚後も、女性が労働し、収入を家庭にもたらして欲しいと考える男性が増えているのである。
5287	リズム-サーフィン-compound	当時流行のサーフィンリズムを取り入れた曲。
5288	出身-東京都-compound,高等学校-帝京-compound	共に東京都出身で帝京高等学校を卒業。
5289	場所-先-compound	初日から7連勝の後、5敗した先場所の二の舞いは避けたいところ。
5290	寄り-桑名-compound	駅舎はなく、ホーム桑名寄りの入口からホームに入る。
5291	刊行-隔月-compound,末-11月-compound	2010年6月の創刊から隔月刊行で11月末までに14タイトルを発売している。
5293	武門-玄-compound,徳-敬-compound,元吉-李-compound,民-世-compound	626年、玄武門の変が発動されると、敬徳は70騎を率いて李元吉を射殺し、高祖に迫って李世民に全権を委ねる詔を出させ、治安を回復させた。
5294	首領-・-compound,_-速-compound,兄弟-四-compound	オルトロスの首領・速_長家四兄弟の次男。
5295	群-作品-compound	そうした自らの作品群を「映画」とは呼ばずに「シネマトグラフ」と総称した。
5296	的に-立地-compound	立地的にいいかと思います。
5297	イヤー-ルーキー-compound,チーム-ファースト-compound	ルーキーイヤーとなった06-07シーズンは78試合に出場し、10.8得点4.5リバウンドのアベレージを残し、オールルーキーファーストチームに選出された。
5298	姿-制服-compound	制服姿の友人は涙ぐんで級友の突然の死を悼み、付き添った母親が肩を抱いてなぐさめていた。
5300	生まれ-グルナード-compound	ラングドックのグルナード生まれ。
5302	航空-ドイツ-compound,用-航空郵便-compound,26-Do-compound	1937年にルフトハンザドイツ航空は、特殊装置を備えた船のカタパルトから発進できるように設計された大西洋横断航空郵便用の3機のDo 26を発注した。
5305	天皇-応神-compound,国-筑紫-compound,比-伊波-compound	応神天皇の時代、新羅にいた女神が夫から逃れて筑紫国の「伊波比の比売島」に住んでいた。
5306	売却-戦闘機-compound,機会-雇用-compound,政権-オバマ-compound	台湾への戦闘機売却で、8万人の雇用機会が創出され、これがオバマ政権にとって最大の魅力だと考えられている。
5307	文明-現代-compound	記者が持っていたアーミッシュのイメージは,閉鎖されたコミュニティで現代文明を拒否して共同生活をする人,というものだった。
5310	アドバイザー-系譜-compound	こちらでは“家系譜アドバイザー”となっている。
5311	さん-社員-compound,解体-・-compound,さん-業者-compound	社員さんが皆若くて、対応が良い解体・産廃収集運搬業者さんです。
5312	チーム-新興-compound,ケンドール-・-compound,ラリー-・-compound,アロンゾ-・-compound,ネッツ-ホー-compound	創設後数年間は、他の新興チームと同様低い勝率に苦しんだが、1990年にケンドール・ギル、1991年にラリー・ジョンソン、1992年にアロンゾ・モーニングを獲得するとホーネッツの成績は上向き始めた。
5313	アクションピザッツ-』-compound,発行-双葉社-compound,月刊誌-漫画-compound	『アクションピザッツ』は、双葉社発行の非成年指定成人向け漫画月刊誌。
5314	前-半世紀-compound,ドイツ人-放逐-compound	半世紀前に署名された書類で放逐ドイツ人の複数の組織は、現在のポーランドに定住を強いられた人々の窮状を訴えている。
5315	地方-関西-compound,拡大-業務-compound	更に、関西地方においても業務拡大を目指す。
5316	ぶり-年-compound,タイ-位-compound	4月 15日、気象庁は、宮崎市で最高気温が9.5度までしか上がらず、100年ぶりに4月の観測史上1位タイの低い記録となったことを発表した。
5317	政策-帝国-compound	フランスはリシュリューの下で神聖ローマ帝国に対する帝国政策が執られた。
5318	廃止-順位-compound,側-チーム-compound	コース別順位廃止の影響か、デモで流れる曲は太鼓チーム側が設定したもののみとなり、コースも「おに」以外から「ふつう」のみとなった。
5319	前-年-compound	私は2年前に脱会したが,本当に良かった。
5323	さん-従業員-compound,店-お-compound	ものごし柔らかな従業員さんで、お店の雰囲気にぴったりな感じでした。
5324	型-字-compound,連れ-家族-compound	ダム湖は「L」字型に山間に位置しており、付近は周回する市道に多くの公園が整備されており、家族連れなどが憩える湖畔である。
5325	探し-鉱脈-compound,グラウンド-イエロー-compound,グラウンド-ブルー-compound,状-パイプ-compound,ライト-バー-compound	近代的な探知機を用いた鉱脈探しが行われる以前は、まずキンバーライトが酸化した土壌であるイエローグラウンドを探し、その近くにブルーグラウンドを探し、パイプ状になっているキンバーライトの鉱脈を探していた。
5326	以降-年-compound	しかし2007年以降はドライバーとしての活動を行っておらず、公式サイトも閉鎖されるなど、事実上レーシングドライバーとしては引退した形となっている。
5328	化-延命-compound,ニーズ-社会-compound	「橋梁の延命化は社会ニーズとなっており、ラインアップの充実で対応したい」とコメント。
5329	さん-屋-compound,さん-屋-compound	お蕎麦屋さんが少ない地域で、やっと見つけた美味しいお蕎麦屋さん。
5330	店-お-compound	かなり、もったいないお店です。
5332	師-助産-compound,会-師-compound	母親が助産師に対して損害賠償を求める訴訟を起こし,これが報じられたことがきっかけで,日本助産師会がホメオパシーについて調査を行っていました。
5334	店-お-compound	女性も比較的行きやすいお店だと思いますよ。
5335	トラック-ガス-compound,マリィ-・-compound,村-トロステネツ-compound	この後、ガストラックは郊外のマリィ・トロステネツ村へ移された。
5336	筋-目先-compound,全体-相場-compound	日経平均株価にらみで目先筋の買い戻しが入り、相場全体を押し上げた。
5337	監督-ペトロビッチ-compound	股関節の手術のため、オーストリアに帰国しているペトロビッチ監督は映像で登場。
5338	議員-大江-compound	大江議員は本紙に対して,今後についてこう語りました。
5339	憲章-国民-compound	憲法に相当するものとしては、パレスチナ国民憲章を定めている。
5341	国連-新-compound	生命の循環を理解しようとしていたが、新国連の攻撃により痛みと憎悪を理解してしまう。
5342	類-天ぷら-compound	天ぷら類もパッとしないのでいまいち。
5343	専用-X-compound,info-.-compound	XAMPPとは別に、MacOS X専用でほぼ同趣旨の「MAMP」がmamp.infoから提供されている。
5345	アネット-・-compound	結婚を報じた新聞記事の切り抜きがたくさん収録されているが、見出しの女性の名前が全て「アネット・メサジェ」に置き換えられている。
5346	数-ユーザー-compound,担当者-採用-compound,さん-仲-compound	もっとユーザー数を増やし,ゆくゆくは企業の採用担当者などにサービスを利用してもらえるビジネスを考えているという仲さん。
5348	内-大分県-compound,都市-首位-compound,都市圏-大分-compound	大分県内の人口の約40%が集中する首位都市であり、人口約70万人の大分都市圏の中心でもある。
5349	生-落第-compound	そこには選抜された優秀な「落第生」が集められていた。
5351	屋-蕎麦-compound,さん-ハル-compound	蕎麦屋の看板娘のハルさんに恋をしている。
5352	弾き-バイオリン-compound,こと-と-fixed	以降は遊園地でバイオリン弾きとして暮らすこととなる。
5353	スペース-イベント-compound,利用-ご-compound,規模-人-compound,開催-イベント-compound	音楽を中心に色々と楽しいイベントスペースとしてご利用出来るので、50人規模のイベント開催を考えている人にはオススメの場所です。
5354	信介-岸-compound,内閣-岸-compound	岸信介の指南役ともいわれ1958年、第2次岸内閣の運輸大臣に就任した。
5355	千葉県-幼時-compound	幼時千葉県に移る。
5356	回-数-compound,たち-人-compound,国家-同族-compound,民族-諸-compound	そのため、ロシアはオスマン帝国への内政干渉を行える立場となり、1778年までに数回に渡ってオスマン帝国へ攻撃を加えたことで、バルカン半島への影響力を高め、さらにバルカン半島に住む人々の多くを成すスラヴ人たちとの同族国家としてバルカン諸民族の独立を支援する立場となっていた。
5358	以下-歳-compound,キャンプ-・-compound	園内には同年、12歳以下の子供を対象としたテーマパーク、キャンプ・スヌーピーが設立された。
5361	後-日-compound	死亡例の多くは受傷後、3-4日後に集中する。
5363	総会-中央委員会-compound,会-代表者-compound,選挙-機関-compound	そして、党規約の改正が行われ、総書記の選出が党中央委員会総会での選挙から党大会における「推戴」に変更されるとともに、党代表者会での党最高指導機関選挙でも実施されることが定められた。
5364	時-改革-compound,面-経済-compound,中-政策-compound,制度-科挙-compound,法-登用-compound	1894年の甲午改革時には、軍国機務処で因習的な社会経済面に対する革新政策中の一つとして、科挙制度を廃止して新しい官吏登用法を作ることに議決するに至った。
5365	総裁-大川-compound,技-得意-compound	大川総裁の得意技は,他人の魂をおろして勝手に喋るの術!
5366	氏-庄市-compound,宗教-現代-compound,宗教-民俗-compound,取材-宗教-compound,関連-問題-compound,事件-宗教-compound	藤田庄市氏は,現代宗教,カルト,山岳信仰,民俗宗教,宗教と政治など宗教取材に従事しており,カルト問題関連の近著には“宗教事件の内側”などがあります。
5368	側-英国-compound,側-スウェーデン-compound	そして7月 18日エーレブルーでは、一方の英国側ともう一方のロシア、スウェーデン側の間で講和条約が締結された。
5369	用-アップ-compound,用-アクション-compound,型-石膏-compound	アップ用、アクション用の二種類の顔が同じ石膏型から作られたが、東京タワーのシーンでは、それらとは別に、歯をむき出して笑っているような表情の頭が使われている。
5371	署-吉野-compound,上北山村-同県-compound,付近-川-compound	奈良県警吉野署は21日、同県上北山村の川付近で男性の遺体が見つかったと発表した。
5372	有料老人ホーム-付き-compound,こと-に-fixed	同社が袋井市で運営する介護付き有料老人ホーム「袋井の憩」など四つの事業所が対象となり、利用者は、別の施設に移ることになる。
5374	ボブ-・-compound	防御率は以降ではボブ・ギブソンがに記録した1.12に次ぐ歴代2位の記録である。
5375	たち-サルタン-compound,同士-たち-compound	オスマンのサルタンたちは幾多の妾を従えたので王座をめぐり、母親の違う息子たち同士、血の争いをするほかなかった。
5376	相互作用-間-compound,四-第-compound	イオンの引力、斥力による分子間相互作用によりこのような状態を生じるため、プラズマはしばしば「第四の状態」と呼ばれる。
5378	層-選手-compound,シーズン-レギュラー-compound,以降-中旬-compound,首位-地区-compound,勝率-最高-compound,優勝-地区-compound	レンジャーズはこの年、厚い選手層を武器にレギュラーシーズンを勝ち進み、5月中旬以降はずっと地区首位を譲らぬまま球団史上最高勝率で地区優勝。
5380	自治体-周辺-compound,多難-前途-compound	ただ周辺自治体の理解は得られておらず前途多難だ。
5382	ゆかり-地域-compound	展示物の多くは三浦半島地域ゆかりの品々。
5383	協定-国際-compound,済み-決定-compound,下-状況-compound	また、非公式協議の場はもたれているものの、国際リニアコライダーの建設が政府間国際協定のもとにすでに保障決定済み、という状況下にもない。
5384	SC-ダルウィッチヒル-compound	2004年、ダルウィッチヒルSCで4試合出場。
5385	通り-想像-compound	カットもいつも想像通りに仕上がるので信頼しています。
5386	ペルジネ-・-compound	1992年、イタリアのペルジネ・ヴァルダルノにて心臓発作を起こし死去した。
5387	詩人-モダニスト-compound,エズラ-・-compound	モダニスト詩人のエズラ・パウンドはホイットマンを「アメリカの詩人......彼がアメリカだ」と呼んでいる。
5388	番号-登録-compound	登録番号は4478。
5389	故郷-・-compound	故郷・鳥取市で暮らしていた父が亡くなった。
5390	DC-/-compound,アメリカ-・-compound,エディー-・-compound,トップ-ZZ-compound	AC/DCの初めてのアメリカ・ツアーや、エディー・マネー、ZZトップ、NIGHTRANGERなどの前座を務めるなどの実績をつんだものの、エリックはバンドに向上心がないと解散を選択する。
5391	略-販売戦-compound,探査-ウラン-compound,計画-行動-compound	ガスや石油製品の販売戦略に関する共同研究や、ウラン探査などを支援する行動計画を定めた。
5392	機能-連写-compound,ファイル-MP-compound,間-秒-compound	高速連写機能が向上しており、RAWで毎秒約5コマ、複数の静止画を1つに640×480ドットの「MPファイル」形式で1秒間に120コマを撮影できる。
5393	幹部-教会-compound,支部-壮年-compound,支部-青年-compound	足立教会幹部は“教会は壮年支部だから,青年支部のことは判らない”との返答。
5395	防衛-ダングレスト-compound,ギルド-大-compound,大規模-最-compound	ダングレスト防衛を主任務とし、五大ギルドの中核に位置する最大規模のギルド。
5396	大会-格闘技-compound,キング-・-compound,オブ-・-compound,ザ-・-compound	そんなテムジンの元に、異種格闘技大会「キング・オブ・ザ・ファイターズ」の話が舞い込む。
5398	算術-章-compound,算術-』-compound,書-数学-compound,代-漢-compound,比例-・-compound,反比例-・-compound	中国では『九章算術』と呼ばれる数学書が漢代には登場し、そのなかで面積の計算法や比例・反比例・ピタゴラスの定理などを紹介している。
5399	秋-資生堂-compound,ソング-キャンペーン-compound,目-枚-compound,TIPONDUO-』-compound	1988年資生堂秋のキャンペーンソングになった4枚目のシングル『彼女とTIPONDUO』のヒットでブレイク。
5400	市長-竹下-compound	438回答中,竹下市長は“辞職すべき”とする住民が48.9%にのぼっています。
5401	反応-副-compound,事例-偶発-compound	ワクチンの副反応のようにみえる偶発事例を「紛れ込み」と呼びます。
5404	大使-インド-compound	1989年から1992年まで駐インド大使。
5406	女史-フィッシャー-compound	録画されたその映像を見ながら,フィッシャー女史は語ります。
5407	者-相談-compound,一番-今-compound	恵比寿マスカッツメンバーが悩みを抱える相談者に代わり、今一番悩まされている相手に生電話する。
5408	監督-会計-compound,監督-・-compound,政明-種田-compound,公金-省-compound,人-陸軍-compound	そこに山城屋の一件を聞いた陸軍省会計監督・種田政明が密かに調査を始めて、「一品の抵当もなしに」多額の陸軍省公金が貸し付けられていたことが発覚、桐野利秋ら薩摩系陸軍人の激しく追及するところとなる。
5411	仕様-メスダボ-compound,製-国内-compound,不要-アダプター-compound	先端が17 mmメスダボ仕様になっており、国内製の灯体にアダプター不要で取り付けが可能となっている。
5412	州-アラゴアス-compound	その後も成長が続いたおかげで、1839年12月 9日にアラゴアス州の州都になった。
5413	1月-昨年-compound	八女市の8小中学校では昨年1月から順次、この食器を使っている。
5416	巌-大山-compound,孫-・-compound,柏-大山-compound	大山巌の孫・大山柏の次男。
5418	リアルタイム-News-compound,リアルタイム-』-compound,枠-ローカル-compound,フルネット-どおり-compound	『中京テレビNewsリアルタイム』改編に伴い月曜日から木曜日までは一部ローカル枠に差し替え放送していたが、金曜日は従来どおりフルネットであった。
5419	医療-疑似-compound	これに対して本紙ではホメオパシーを“疑似医療”と呼んでいます。
5420	社-文藝春秋-compound,HP-公式-compound,協会-統一-compound	文藝春秋社から誠意ある対応が行われるまで抗議行動を継続することを公式HPに記載している統一協会。
5421	ラ-・-compound,砦-クレヴクール-compound	ラ・サールは、オンタリオ州に戻ってくるまでの間、トンティにイリノイ州のクレヴクール砦を持たせた。
5425	等-テレビ-compound	テレビ等でも放映されたように何を食べても美味しいです。
5428	久子-久野-compound,耕輔-小松-compound,ら-愛羅-compound	同期には久野久子や小松耕輔、大和田愛羅らがいる。
5433	通り-指示-compound,作-本-compound,奏法-リフ-compound,奏法-・-compound,奏法-アドリブ-compound,アレクサンダー-映画評論家-compound,アレクサンダー-・-compound	完璧主義で絶対に指示通りでなければ許さないキューブリックも、本作ではジャズのリフ奏法・アドリブ奏法を映画の演技としてセラーズに許し、それが成功の一因だったと映画評論家アレクサンダー・ウォーカーは後に語っている。
5434	部-中央-compound,台車-先-compound,台車-従-compound,バランス-重量-compound	中央部の4対の動輪に対して、各1軸の先台車、従台車により重量バランスが取りやすく、乗り心地が良いことから、乗務員に好評であったという。
5435	チーム-新-compound	そうでなくても底辺が小さいのに、プロ野球の新チームが加われば、試合の質的な低下が避けられないと懸念する声が上がっているのだ。
5436	議員-大江-compound,知事選-沖縄県-compound,氏-金城-compound	大江議員は,沖縄県知事選が告示され金城氏が正式に立候補した11日,本紙の取材に対してこう語りました。
5437	以外-取材-compound,協会-統一-compound	取材以外の入場者についても,統一協会などで配布されたチケットを持った人だけが入場できるというもの。
5438	9---compound	コードネームはSG-9。
5439	ハイブリッド-・-compound,部-ブリッジ-compound,損失-内部-compound,素材-BMC-compound,構造-ハイブリッド-compound	アルミとポリカーボネートのハイブリッド・ターンテーブルを採用し、ブリッジ部も内部損失の高いBMC素材とスチールのハイブリッド構造。
5440	等-官職-compound,規定-優越-compound,規定-同意-compound	かつては以下の官職等の任命について衆議院優越規定や衆議院単独同意規定が存在した。
5443	数-入場者-compound,制-紹介-compound	入場者数からみても相当な額の売上があると思われる今回の展示会,紹介制という形を採ることにより必要のない購入を断りづらくしている。
5444	記者-本紙-compound	これを買いに行った本紙記者が主筆の分を買ってきてくれなかったので,中身は聴いていません。
5445	専門-現代音楽-compound,レコード会社-系-compound,全般-クラシック-compound	当初は現代音楽専門のインディーズ系レコード会社として立ち上げられ、すぐにクラシック全般およびジャズにまで領域が広げられた。
5447	岳-利尻-compound	新しい建物で部屋から利尻岳が見えて窓も広く接客も気持ちがよかったです。
5448	こと-と-fixed	妻のミシェルが亡くなってからは心を閉ざしていたが、いちごのスイーツへの情熱と直向きな思いからその心を序々に開くこととなった。
5449	院-整体-compound	ふじみ野市にはたくさん整体院がありますが、明るい室内と丁寧な施術をして頂いています。
5450	値-経験-compound	戦闘中でも、経験値が100ポイントに達した瞬間に発生する。
5451	契約-レコード-compound	翌年にはレコード契約を結び、2つのアルバムをリリース。
5452	首相-佳彦-compound,相-防衛-compound,閣僚-関係-compound	野田佳彦首相が一川保夫防衛相、玄葉光一郎外相ら関係閣僚と近く最終協議し、派遣を確認。
5453	比べ-知恵-compound,ネル-ジャ-compound,ネル-・-compound	この知恵比べと称した挑戦によって事態は混迷し、出し抜かれた正太郎が本気で悔しがったのも相手もジャネル・ファイヴくらいだった事を見ても、正太郎にとって悪気が無いだけに厄介な相手とも言える。
5454	頃-時-compound,神社-天満-compound,神社-戸沢-compound,行列-渡御-compound,公園-最上-compound	午前10時頃に、天満神社、戸沢神社の氏子からなる「神輿渡御行列」が最上公園を出発。
5457	禁止-突放-compound	トレーラーに与える衝撃などを考えて突放禁止とされている。
5458	ドラマ-韓国-compound	韓国ドラマのロケ地に観光客が押し寄せる。
5459	損失-損-compound	だが、減損損失の急増などで、純損失は前年同期の386億円から拡大した。
5460	ライン-最終-compound	この日は先制して以降、前線から最終ラインまで全体をコンパクトに保った。
5461	任せし-お-compound	とても丁寧に対応していただき、お任せしました。
5462	スタジオ-ダンス-compound	個人的には、熊本で一番あたたかい雰囲気のダンススタジオだと思います。
5463	軍-袁紹-compound,部隊-伏兵-compound	袁紹軍の武将で、烏巣の伏兵部隊の第三の将。
5464	名古屋地裁-審-compound,名古屋高裁-審-compound,直前-死亡-compound,目的-制裁-compound	一審名古屋地裁、二審名古屋高裁の判決はいずれも、死亡直前のぶつかりげいこを制裁目的の違法な暴行だったと判断し、死亡との因果関係も認定。
5465	丁寧-親切-compound	親切丁寧な診察です。
5468	湯-お-compound	パウンドケーキに入れるのによさそうだけれど、お湯を注いで飲むという。
5469	独自-パナソニック-compound,行程-洗浄-compound,温度-到達-compound,センサー-水温-compound,行程-乾燥-compound,時間-加熱-compound,センサー-室温-compound	パナソニック独自の「エコナビ」を搭載し、庫内に取り込んだ水の温度を検知して洗浄行程の到達温度を調整する「水温センサー」や、室温を検知して乾燥行程のヒーター加熱時間を調整する「室温センサー」の働きによって、最大で約7%節電する。
5470	検査-術後-compound	だが術後検査で四肢が再度取れてしまったのを疑問に思ったドックが、ゼロのロケットにシートベルトが付いていないことに気づき、その日の朝の出来事を思い出しつつロケットにシートベルトを付けて解決した。
5472	確認-事実-compound	個人でも可能な事実確認はしたという認定だった。
5473	胸-前-compound,斑-黒-compound,板-楯-compound,中線-正-compound,胸-前-compound,端-後-compound,斑-黒-compound,中程-両側-compound,斑-黒-compound,斑-黒-compound,斑-黒-compound	前胸には、中央より左右に前後二つ、その外側に一つの黒斑、小楯板には正中線に沿って前胸の少し後ろと後端より少し前に縦長の黒斑、その両側中程には、前の黒斑の少し後方と、後ろの黒斑の前方に、ハの字に並んだ黒斑がある。
5474	機嫌-ご-compound	神は他の先生みたいに、ご機嫌とか変にとろうとか平気でひどいこと言うし。
5475	出身-法学部-compound	獅山は「私は京都大学法学部出身である。
5476	城-亀山-compound,砦-山-compound	亀山城の北東に孫次山砦が築かれている。
5477	上昇-好感度-compound,獲得-称号-compound	ステータスはヒロインの好感度上昇や称号獲得の際に必要となる。
5480	ニーズ-消費者-compound,環境-市場-compound	近年、消費者ニーズの多様化を反映して、お客様の市場環境は大きくかつ急速に変化しています。
5482	作-本-compound	同アルバムの解説書には、本作が生まれたいきさつも簡潔に記されている。
5483	ヘッドコーチ-女性-compound,アリーナ-スーパー-compound,開催-オールスター-compound,シーズン-レギュラー-compound,以外-戦-compound,連勝-カード-compound,以来-年度-compound,位-最下-compound	女性ヘッドコーチの就任を含め、このシーズンはさいたまスーパーアリーナでオールスター開催など話題こそ集めたものの、レギュラーシーズンでは勝ちきれない試合が多く、高松戦以外で同一カード連勝はなく、初年度以来の最下位という結果に終わった。
5484	型-デスクトップ-compound	デスクトップ型のオフコン。
5485	幹事長-植田-compound,進展-協議-compound	植田幹事長の動きに反発もあったが、結果的に協議進展の流れを作った。
5486	秀忠-徳川-compound	徳川家康の曾孫、徳川秀忠の外孫に当たる。
5489	バトル-レーシングカー-compound,以上-カー-compound,タイム-ラップ-compound	今でもニスモフェスティバルの歴代レーシングカーバトルで走行すると、グループCカー以上のラップタイムで走行する。
5490	域-分布-compound,地方-温帯-compound	分布域はほぼ北半球の暖帯から温帯地方といってもよい。
5491	こと-に-fixed	滞在中の六週間はオハイオ州立大学の寮に入ることになりました。
5492	面-間抜け-compound	関内に「間抜け面」と評された顔立ち。
5494	さん-ハイヤー-compound	先日、青森へ商用で行ったときたまたま和光ハイヤーさんを使用させていただきました。
5496	店-風俗-compound,探し-お-compound	京橋で風俗店をお探しの際はやんちゃな子猫ぜひにご相談ください。
5497	席-報道-compound	報道席にはテレビ局のカメラも入っています。
5498	議長-下院-compound,代行-知事-compound	1972年には下院議長に就任、1973年にはニュージャージー州知事代行を務めたこともある。
5499	王国-イシュワルド-compound	イシュワルド王国イシュワルドの出身。
5500	当初-開始-compound,変更-運用-compound,大阪駅-新-compound,間-和歌山駅-compound,アロー-オーシャン-compound,間-和歌山駅-compound	運転開始当初から1日3往復が運転されていたが、2011年3月 12日のダイヤ改正で、運用変更により新大阪駅→和歌山駅間でも「オーシャンアロー」31号が運行され、新大阪駅-和歌山駅間は3.5往復であった。
5501	ティーン-ポップ-compound,誌-姉妹-compound,シスター-ポップ-compound,加奈-星野-compound,以-結-compound,純-小森-compound,智子-樋口-compound,英李-青木-compound	2010年にポップティーンの姉妹誌『Pop Sister〔ポップシスター〕』が創刊すると、星野加奈、菅野結以、小森純、樋口智子、青木英李、孫暐とともに専属としてこれに登場。
5502	たち-ルフィ-compound,たち-子供-compound	ルフィたちと合流した後、子供たちがシーザーに薬物中毒にさせられていることを怒りをあらわにする。
5503	唯一-形式-compound,機-保存-compound	本形式唯一の保存機だが、屋根の下での保存とは言え維持管理が適切でないため荒廃が進みつつある。
5504	袈裟-』-compound	第5話『袈裟』に登場。
5505	当初-開業-compound	開業当初からの無人駅で、設備としては簡易なホームと待合所があるのみ。
5506	ガソリンエンジン-ストローク-compound,容積-シリンダー-compound,圧縮-ケース-compound,系-動弁-compound	しかし、2ストロークガソリンエンジンはシリンダー容積が小さいものが多いこともあり、クランクケース圧縮による掃気で十分であり、わざわざ動弁系を追加する必要も低いため、生産品として製造されたケースはない。
5507	キャラ-ボーナス-compound	ボーナスキャラ。
5508	ビデオ-オープニング-compound	次いで,オープニングビデオが流れ始めました。
5509	事務所-管理-compound,左岸-ダム-compound	太い流木で作った門をくぐり、階段を下りるとダム管理事務所のある笹ヶ峰ダム左岸に出る。
5510	情報-店-compound	引越して間もない時に、近くの安いお店情報を教えてくれて親切にして頂きました。
